[Trace] Gravando em: C:\Users\lucas_alves\Workspace\self-adaptive-arm-simulator\1-manager\traces\trace_20260724_102927.log
[step=   0 10:29:28.873][Manager] GUI conectado.
[step=   0 10:29:30.374][Manager] Aguardando percepcoes do managing...

[step=   0 10:29:30.393][WsClient] Conectado a ws://localhost:8000/ws/perception
[step=   1 10:29:30.444][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   1 10:29:30.445][ASM] [OK] __init__ → approach_object  (type=domain)
[step=   1 10:29:30.445][Analyzer] ASM node=approach_object  goal_status=ok  (scenario=APPROACH_OBJECT)
[step=   2 10:29:31.585][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   2 10:29:31.586][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   3 10:29:32.733][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   3 10:29:32.733][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   4 10:29:33.883][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   4 10:29:33.884][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   5 10:29:35.039][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   5 10:29:35.040][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   6 10:29:36.175][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   6 10:29:36.175][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   7 10:29:37.319][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   7 10:29:37.319][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   8 10:29:38.466][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   8 10:29:38.466][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=   9 10:29:39.613][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=   9 10:29:39.613][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=  10 10:29:40.761][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=  10 10:29:40.761][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=  11 10:29:41.905][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=  11 10:29:41.905][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=  12 10:29:43.051][Manager] ep=1 subtask=APPROACH_OBJECT reward=-0.4000
[step=  12 10:29:43.052][Analyzer] ASM node=approach_object  goal_status=not_applicable
[step=  13 10:29:44.198][Manager] ep=1 subtask=GRASP_OBJECT reward=-0.4000
[step=  13 10:29:44.198][ASM] [OK] approach_object → grasp_object  (type=domain)
[step=  13 10:29:44.199][Analyzer] ASM node=grasp_object  goal_status=ok  (scenario=GRASP_OBJECT)
[step=  14 10:29:45.345][Manager] ep=1 subtask=GRASP_OBJECT reward=-0.3975
[step=  14 10:29:45.345][ASM] [OK] grasp_object → lift_object  (type=domain)
[step=  14 10:29:45.346][Analyzer] ASM node=lift_object  goal_status=ok  (scenario=LIFT_OBJECT)
[step=  15 10:29:46.491][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.3974
[step=  15 10:29:46.492][Analyzer] ASM node=lift_object  goal_status=not_applicable
[step=  16 10:29:47.664][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4127
[step=  16 10:29:47.665][Analyzer] ASM node=lift_object  goal_status=not_applicable
[step=  17 10:29:48.798][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4129
[step=  17 10:29:48.798][Analyzer] ASM node=lift_object  goal_status=not_applicable
[step=  18 10:29:49.932][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4154
[step=  18 10:29:49.933][Analyzer] ASM node=lift_object  goal_status=not_applicable
[step=  19 10:29:51.079][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4176
[step=  19 10:29:51.080][ASM] [OK] lift_object → transport_object  (type=domain)
[step=  19 10:29:51.080][Analyzer] ASM node=transport_object  goal_status=ok  (scenario=TRANSPORT_OBJECT)
[step=  20 10:29:52.238][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4227
[step=  20 10:29:52.238][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  21 10:29:53.372][Manager] ep=1 subtask=LIFT_OBJECT reward=-0.4301
[step=  21 10:29:53.373][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  22 10:29:54.532][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.4211
[step=  22 10:29:54.533][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  23 10:29:55.666][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.4085
[step=  23 10:29:55.667][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  24 10:29:56.813][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.3758
[step=  24 10:29:56.813][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  25 10:29:57.972][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.3453
[step=  25 10:29:57.972][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  26 10:29:59.106][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.3148
[step=  26 10:29:59.106][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  27 10:30:00.253][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.2852
[step=  27 10:30:00.253][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  28 10:30:01.400][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.2565
[step=  28 10:30:01.400][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  29 10:30:02.573][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.2291
[step=  29 10:30:02.573][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  30 10:30:03.706][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.2036
[step=  30 10:30:03.706][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  31 10:30:04.853][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1811
[step=  31 10:30:04.853][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  32 10:30:05.987][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1625
[step=  32 10:30:05.987][Analyzer] ASM node=transport_object  goal_status=not_applicable
[step=  33 10:30:07.147][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1497
[step=  33 10:30:07.147][Analyzer] ASM node=transport_object  goal_status=not_applicable
